Board,Date,Time,Meeting Type,Agenda Link
Fleet Management Steering Committee (FMSC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31397
Gilcrease Museum Board of Trustees,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31413
Greater Tulsa Area African-American Affairs Commission (GTAAAAC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31585
Greater Tulsa Area Hispanic/Latinx Affairs Commission (GTAHLAC),02/21/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31861
Greater Tulsa Area Hispanic/Latinx Affairs Commission (GTAHLAC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31586
Greater Tulsa Area Indian Affairs Commission (GTAIAC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31587
Housing Authority of the City of Tulsa (THA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31339
Housing Authority of the City of Tulsa (THA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31340
Housing Authority of the City of Tulsa (THA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31342
Housing Partners of Tulsa (HPT),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31341
Human Rights Commission (HRC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31588
Indian Nation Council of Governments (INCOG),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31386
Indian Nation Council of Governments (INCOG),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31387
Indian Nation Council of Governments (INCOG),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31416
Indian Nation Council of Governments (INCOG),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31581
Infrastructure Development Advisory Board (IDAB),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31495
Kendall Whittier Improvement District,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31607
Local Emergency Planning Committee (LEPC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31182
Medical Control Board (MCB),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31544
Medical Review Committee,01/07/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31655
Medical Review Committee,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31243
Metropolitan Environmental Trust (MET),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31446
Metropolitan Environmental Trust - Friends of the M.E.T.,01/13/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31686
Metropolitan Environmental Trust - Friends of the M.E.T.,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31447
Metropolitan Tulsa Transit  Authority (MTTA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31379
Municipal Employee Retirement Board (MERP),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31393
Municipal Employee Retirement Board (MERP),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31534
Parks and Recreation Board (PRB),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31414
Planning and Neighborhoods - Code Enforcement Division,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31288
Prisoner Medical Billing Committee,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31565
Professional Consulting Services Selection Committee,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31579
Regional Enhanced 911 Board,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31439
Regional Enhanced 911 Board,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31440
Regional Enhanced 911 Board,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31441
Regional Metropolitan Utility Authority (RMUA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31221
River Parks Authority (RPA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31492
Sales Tax Overview Committee (STOC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31473
Sales Tax Overview Committee (STOC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31474
Specification Review Committee,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31408
Standards Specifications & Awards Committee (SSA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31402
Stormwater Drainage Hazard Mitigation Advisory Board (SDHMAB),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31315
Stormwater Drainage Hazard Mitigation Advisory Board (SDHMAB),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31316
Tri-County Council on Aging,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31491
Tulsa Airport Authority (TAA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31590
Tulsa Airports Improvement Trust (TAIT),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31591
Tulsa Authority for Economic Opportunity (TAEO),01/06/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31638
Tulsa Authority for Economic Opportunity (TAEO),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31494
Tulsa Authority for The Recovery of Energy (TARE),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31488
Tulsa City Council,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31509
Tulsa City Council,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31608
Tulsa City-County Board of Health (TCCBOH),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31487
Tulsa City-County Board of Health (TCCBOH),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31486
Tulsa City-County Library Commission (TCCLC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=29717
Tulsa County Criminal Justice Authority (TCCJA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31490
Tulsa Development Authority (TDA),01/07/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31639
Tulsa Development Authority (TDA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31493
Tulsa International Airport Development Trust  (TIADT),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31592
Tulsa Metropolitan Area Planning Commission (TMAPC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31336
Tulsa Metropolitan Utility Authority (TMUA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31217
Tulsa Metropolitan Utility Authority (TMUA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31218
Tulsa Metropolitan Utility Authority (TMUA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31219
Tulsa Metropolitan Utility Authority (TMUA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31222
Tulsa Metropolitan Utility Authority (TMUA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31241
Tulsa Municipal Airport Trust (TMAT),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31593
Tulsa Performing Arts Center Trust (TPACT),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31395
Tulsa Performing Arts Center Trust (TPACT),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31396
Tulsa Preservation Commission,01/16/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31710
Tulsa Preservation Commission,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31530
Tulsa Preservation Commission,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31529
Tulsa Public Facilities Authority (TPFA),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31443
Tulsa Route 66 Commission,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31576
Tulsa Stadium Trust (TST),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31558
Tulsa Stadium Trust (TST),02/20/2026,8:00 AM,Reschedule,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31820
Tulsa Stadium Trust (TST),02/20/2026,8:00 AM,Reschedule,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31841
Tulsa Utility Board (TUB),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31220
Tulsa Women's Commission (TWC),01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31589
Tulsa's Gathering Place LLC,01/01/2026,,Annual,https://www.cityoftulsa.org/apps/COTDisplayDocument/?DocumentType=Agenda&DocumentIdentifiers=31556
